row,flirtation,identity_attack,insult,severe_toxicity,sexually_explicit,threat,label
89,0.63832444,0.43512407,0.8933436,0.89414346,0.9525393,0.2175964,Profanity
90,0.098393805,0.42465916,0.9658004,0.8532974,0.31839442,0.20613442,Profanity
91,0.3457514,0.22591934,0.7642829,0.8572666,0.1661555,0.9331518,Offensive
92,0.5047676,0.35186377,0.656422,0.7177591,0.57862824,0.38346124,Very offensive
93,0.13335575,0.6894879,0.72754973,0.8546382,0.08767906,0.9621058,Offensive
94,0.18634987,0.34231123,0.9658004,0.7235801,0.10130717,0.23235865,Profanity
95,0.39651284,0.25771275,0.72723687,0.8175726,0.5943178,0.29873848,Profanity
96,0.43260074,0.9149589,0.8121919,0.7473183,0.2045091,0.2571703,Extremely offensive
97,0.35210675,0.157778,0.84949297,0.8214078,0.49106607,0.23529027,Offensive
98,0.07701716,0.6891685,0.9076751,0.71527326,0.12952518,0.213276,Offensive
99,0.53158313,0.2657831,0.8283241,0.7904413,0.90230405,0.6749995,Profanity
100,0.77041084,0.40741062,0.77183235,0.8467122,0.9642848,0.40218812,Profanity
101,0.4713986,0.5568384,0.90459186,0.88678163,0.83839333,0.27880397,Offensive
102,0.85300285,0.22711247,0.72723687,0.8546382,0.9770172,0.2792757,Offensive
103,0.35006225,0.5421539,0.5157868,0.7351293,0.13760522,0.97864926,Neutral
104,0.508021,0.59904194,0.77152663,0.8104343,0.6522458,0.24863392,Profanity
105,0.3615171,0.3307115,0.69910866,0.7821445,0.53028154,0.20224622,Offensive
106,0.46398267,0.16575302,0.63635767,0.7174433,0.5530537,0.34340385,Profanity
107,0.5953678,0.16492628,0.80553454,0.89389336,0.9652823,0.21977012,Offensive
108,0.5096515,0.39597487,0.9076751,0.89414346,0.7722222,0.8496349,Profanity
109,0.1623718,0.49250293,0.9517734,0.7036041,0.14350693,0.21593627,Offensive
110,0.15458676,0.11785376,0.7702185,0.7797766,0.47675335,0.08955864,Profanity
111,0.46220192,0.3435461,0.9593524,0.8214078,0.39476606,0.34730008,Profanity
112,0.1368083,0.19255553,0.82491976,0.70470876,0.17024384,0.21062218,Offensive
113,0.0937931,0.13426097,0.78647244,0.7092889,0.10296732,0.11380904,Profanity
114,0.7483237,0.1350266,0.59276253,0.8120159,0.9249143,0.16587108,Profanity
115,0.12572476,0.5018195,0.93607634,0.8546382,0.24489821,0.27399305,Offensive
116,0.3068847,0.22087573,0.9535211,0.86612374,0.8688342,0.17470258,Offensive
117,0.430418,0.86371624,0.8206555,0.74681365,0.3525114,0.26144218,Very offensive
118,0.7288113,0.08958626,0.3935764,0.7175147,0.96409035,0.25160724,Profanity
119,0.7220574,0.3057714,0.51667356,0.7473183,0.9249143,0.9083624,Offensive
120,0.72716904,0.27737594,0.656422,0.70066196,0.8844883,0.3443631,Neutral
121,0.37377128,0.23597018,0.65094125,0.8214078,0.6522458,0.23346433,Offensive
122,0.19714512,0.64986646,0.9076751,0.7101222,0.16050217,0.30718428,Offensive
123,0.14409338,0.32681066,0.9811452,0.71542525,0.14651543,0.2008948,Offensive
124,0.24605478,0.9340332,0.8532361,0.72608894,0.14354092,0.15506934,Extremely offensive
125,0.60294265,0.44394442,0.781979,0.7469393,0.8381198,0.23128082,Very offensive
126,0.43464848,0.08925134,0.43742332,0.7077084,0.42983425,0.24565259,Profanity
127,0.47840726,0.4690148,0.9605577,0.7789962,0.33194298,0.25957057,Offensive
128,0.27184647,0.11717974,0.656422,0.7263151,0.53496796,0.16096602,Offensive
129,0.2897342,0.098364934,0.82485914,0.7176707,0.35096306,0.21802655,Profanity
130,0.1565417,0.28521612,0.8602058,0.7473183,0.1820156,0.21081008,Profanity
131,0.34764034,0.4014991,0.8532361,0.8348129,0.58726436,0.26608413,Profanity
132,0.26054963,0.689486,0.87100226,0.8552408,0.67328,0.16165347,Extremely offensive
133,0.5818865,0.19055592,0.656422,0.7314014,0.9770172,0.21004622,Offensive
134,0.38588905,0.34415132,0.77890927,0.7789033,0.53318536,0.1658667,Profanity
135,0.41666812,0.32295987,0.6562404,0.70489055,0.38424218,0.4641861,Neutral
136,0.45811448,0.60573846,0.82485914,0.7286406,0.19095814,0.59630936,Offensive
137,0.5041758,0.46343112,0.8394148,0.8794335,0.90230405,0.34380624,Profanity
138,0.3618423,0.9280673,0.9076751,0.79261225,0.17218052,0.20718272,Hate speech
139,0.32505414,0.1911827,0.66345793,0.8653468,0.41304845,0.27774942,Profanity
140,0.46773124,0.5944661,0.89408225,0.73884493,0.29111204,0.40953833,Profanity
141,0.5336653,0.26234886,0.5707279,0.7775843,0.87872106,0.2907253,Profanity
142,0.7218548,0.20438468,0.63467723,0.7015548,0.6522458,0.22286692,Profanity
143,0.09679507,0.94687307,0.9811452,0.814924,0.45522818,0.09934135,Profanity
144,0.19770987,0.39562458,0.42247373,0.7473183,0.11168703,0.97864926,Neutral
145,0.29852712,0.9309879,0.9360431,0.7768138,0.53520405,0.19525495,Offensive
146,0.49147114,0.466636,0.93682694,0.9142501,0.96396166,0.30914417,Profanity
147,0.72393,0.30432126,0.7024426,0.8214078,0.92246574,0.68372166,Offensive
148,0.55870855,0.6889724,0.935612,0.91536796,0.9525393,0.3803832,Offensive
149,0.8619664,0.2772713,0.5157868,0.8546382,0.9426728,0.94777685,Offensive
150,0.39846516,0.32316434,0.824879,0.7302794,0.30758995,0.35981715,Profanity
151,0.17552507,0.17323834,0.79564714,0.7135021,0.18412854,0.20480767,Profanity
152,0.18392113,0.3570542,0.9362474,0.90513134,0.277006,0.3717993,Offensive
153,0.35768086,0.37489164,0.82493436,0.8244959,0.38631636,0.25132778,Profanity
154,0.13973089,0.41996872,0.9028342,0.72326887,0.27362767,0.21219088,Offensive
155,0.358329,0.13882683,0.5585267,0.7473183,0.68182385,0.083491854,Profanity
156,0.7851393,0.14480817,0.53717005,0.7282301,0.9889302,0.20951788,Profanity
157,0.23112334,0.23253952,0.8394148,0.8214078,0.24888374,0.25670886,Offensive
158,0.45379588,0.59569806,0.9658004,0.9306482,0.89910805,0.58573204,Offensive
159,0.41273484,0.8772666,0.72780967,0.709346,0.15366876,0.28958565000000003,Extremely offensive
160,0.42055213,0.23944001,0.6646183,0.782798,0.6522458,0.43843558,Profanity
161,0.47663417,0.08772896,0.4399909,0.7620214,0.6522458,0.7658759,Profanity
162,0.47282374,0.5929366,0.9535211,0.91525835,0.9519135,0.27232152,Very offensive
163,0.34804708,0.86371624,0.9605577,0.89439535,0.50414354,0.31146604,Offensive
164,0.182315,0.8677653,0.9104302,0.7298466,0.38825944,0.20711677,Very offensive
165,0.24133885,0.6392941,0.83675694,0.91536796,0.3081193,0.9800452,Very offensive
166,0.6042448,0.12601621,0.33926216,0.70229185,0.9770172,0.1295161,Neutral
167,0.8571963,0.09852436,0.45269802,0.8132279,0.9788266,0.17702527,Profanity
168,0.23480979,0.2997822,0.82503086,0.7099192,0.34860113,0.13944915,Offensive
169,0.3590614,0.60268277,0.8772522,0.7984653,0.19932461,0.76944286,Offensive
170,0.517,0.11934619,0.50530404,0.70221126,0.87872106,0.1775057,Profanity
171,0.42258438,0.19656913,0.8004176,0.7197703,0.20262524,0.25167117,Offensive
172,0.47120792,0.29021338,0.8186069,0.79320365,0.95238715,0.22773512,Very offensive
173,0.6078196,0.597275,0.7675796,0.76769394,0.68434924,0.4925408,Neutral
174,0.49423197,0.6894879,0.96392345,0.89414346,0.7991993,0.39256564,Offensive
175,0.39125842,0.43012983,0.59276253,0.71718496,0.31682822,0.29466057,Neutral
176,0.4547852,0.32591087,0.92484045,0.8870248,0.49002314,0.39529094,Offensive
177,0.45867383,0.71542627,0.7675796,0.833953,0.21024795,0.90779823,Offensive
178,0.47263932,0.2590343,0.9298358,0.7782293,0.87872106,0.2198504,Profanity
179,0.90289146,0.8031178,0.67213106,0.8369705,0.9834715,0.32729387,Profanity
180,0.48463562,0.39660498,0.75861114,0.7473183,0.38160908,0.61153096,Profanity
181,0.20119633,0.14567894,0.67213106,0.7473183,0.27621773,0.18526407,Offensive
182,0.6568789,0.2795228,0.85753614,0.8926464,0.99225783,0.20903285,Offensive
183,0.21765964,0.09260411,0.45269802,0.7191792,0.37198427,0.15531066,Profanity
184,0.39220157,0.28097123,0.9605577,0.82943606,0.36945143,0.22320147,Offensive
185,0.439386,0.36874148,0.7024426,0.7473183,0.69036824,0.20663469,Profanity
186,0.40412048,0.9586736,0.91994673,0.8546382,0.19617444,0.19481406,Extremely offensive
187,0.51718044,0.6069273,0.6393368,0.7198592,0.56373805,0.4447373,Offensive
188,0.51685995,0.41857946,0.88470876,0.84233814,0.6522458,0.24287406,Profanity
189,0.3463142,0.37658736,0.9658004,0.8869423,0.44107607,0.20977114,Offensive
190,0.4300414,0.18223765,0.38997248,0.7486312,0.14554726,0.9805333,Neutral
191,0.79474825,0.39178914,0.72804207,0.886883,0.9770172,0.2875025,Offensive
192,0.3161716,0.5932038,0.9658004,0.8465321,0.30480212,0.19850975,Offensive
